SANTRAL ADI:;KARAKURT BARAJI VE HES(BILSEV)
FREKANS KONTROLUNE KATILAN BIRIMIN ADI:; KARAKURT BARAJI VE HES(BILSEV)
FREKANS KONTROLUNE KATILAN BIRIMIN (UEVCB YA DA AGC'DEN REFERANS DEGER GELEN BIRIM) (SANTRAL/KOMBINE CEVRIM BLOGU/UNITE) NOMINAL AKTIF GUCU (KURULU GUCU) (MW):; 96,99
ILGILI BIRIMIN AKTIF UNITELERININ PRIMER FREKANS KONTROLU ICIN GECERLI DROOP DEGERLERI (%):;4;4
ILGILI BIRIMIN AKTIF UNITELERININ GECERLI DROOP DEGERLERI ILE, 200 mHz'LIK BASAMAK FREKANS DEGISIMINE VERDIGI TEPKININ ORTALAMA DENGEYE GELME SURESI (sn):;43;43
ILGILI BIRIMIN AKTIF UNITELERININ YUK ALMA - ATMA HIZLARI (MW/dak):;13,8;15,4
ILGILI BIRIMIN AKTIF UNITELERININ HIZ REGULATORUNE GIDEN HIZ BILGISINDEKI +/- ISTEKSEL OLU-BAND DEGERI (mHz):;0;0
TARIH;SAAT;SIRA_NO;FRE_HZ;BRM_GUC_REF_DEG_MW;BRM_AKT_CIK_GUCU_BRUTMW;BRM_AKT_CIK_GUCU_NETMW;BRM_PFK_TPLM_NOM_GUCMW;BRM_SEK_MAK_MW;BRM_SEK_MIN_MW;BRM_PRI_MAKC_MW;BRM_PRI_MINC_MW;BRM_GNCL_KPR_MW/HZ;BRM_SFK_REZ_MIK_MW;BRM_PFK_REZ_MIK_MW;AGC_AKT;PFCO_AKT
29.08.2022;17:54:37;64477;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:38;64478;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:39;64479;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:40;64480;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:41;64481;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:42;64482;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:43;64483;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:44;64484;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:45;64485;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:46;64486;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:47;64487;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:48;64488;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:49;64489;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:50;64490;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:51;64491;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:52;64492;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:53;64493;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:54;64494;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:55;64495;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:56;64496;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:57;64497;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:58;64498;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:54:59;64499;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:00;64500;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:01;64501;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:02;64502;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:03;64503;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:04;64504;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:05;64505;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:06;64506;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:07;64507;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:08;64508;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:09;64509;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:10;64510;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:11;64511;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:12;64512;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
29.08.2022;17:55:13;64513;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0
